Team,Date,ATT,MID,DEF,OVR
Real Madrid,8,88,86,86,86
FC Barcelona,8,92,86,83,85
Atlético Madrid,8,84,82,84,83
Sevilla FC,8,81,80,79,80
Villarreal CF,8,80,80,80,80
Athletic Bilbao,8,80,80,80,79
Valencia CF,8,79,79,79,79
Real Sociedad,8,78,78,77,78
Celta Vigo,8,76,79,78,78
RC Deportivo,8,79,76,77,77
RCD Espanyol,8,78,77,76,77
Real Betis,8,78,77,76,77
Málaga CF,8,76,77,77,77
UD Las Palmas,8,75,78,76,76
SD Eibar,8,75,76,75,75
Sporting Gijón,8,75,74,75,75
CD Leganés,8,74,75,74,74
Deport. Alavés,8,74,74,74,74
Granada CF,8,72,73,73,73
CA Osasuna,8,71,73,72,72
Real Madrid,9,88,86,86,86
FC Barcelona,9,92,86,83,85
Atlético Madrid,9,84,82,84,83
Sevilla FC,9,79,81,80,81
Villarreal CF,9,80,80,80,80
Athletic Bilbao,9,80,80,80,79
Valencia CF,9,79,79,80,79
Celta Vigo,9,78,79,78,78
RCD Espanyol,9,78,78,77,78
Real Sociedad,9,78,78,76,78
Real Betis,9,79,76,75,77
Málaga CF,9,76,77,77,77
UD Las Palmas,9,75,78,76,76
RC Deportivo,9,75,76,77,76
SD Eibar,9,77,76,75,75
Sporting Gijón,9,75,74,75,75
Deport. Alavés,9,75,74,74,74
CD Leganés,9,73,75,74,74
Granada CF,9,73,74,76,74
CA Osasuna,9,74,74,72,73
Real Madrid,10,88,86,86,86
FC Barcelona,10,92,86,83,85
Atlético Madrid,10,84,82,84,83
Sevilla FC,10,79,81,78,81
Villarreal CF,10,79,80,80,80
Athletic Bilbao,10,80,80,80,79
Valencia CF,10,79,79,79,79
Celta Vigo,10,79,79,78,78
RCD Espanyol,10,78,77,77,78
Real Sociedad,10,78,77,76,78
Real Betis,10,79,76,76,77
Málaga CF,10,76,77,77,77
UD Las Palmas,10,75,78,76,77
RC Deportivo,10,76,76,77,76
SD Eibar,10,77,76,75,75
Deport. Alavés,10,76,74,74,74
Sporting Gijón,10,75,74,75,74
Granada CF,10,74,74,74,74
CD Leganés,10,73,75,74,74
CA Osasuna,10,74,74,72,73
Real Madrid,11,88,86,86,86
FC Barcelona,11,92,86,83,85
Atlético Madrid,11,84,82,84,83
Sevilla FC,11,79,81,79,81
Villarreal CF,11,79,80,80,80
Athletic Bilbao,11,80,80,80,79
Valencia CF,11,80,79,79,79
Celta Vigo,11,79,79,78,78
RCD Espanyol,11,78,77,77,78
Real Sociedad,11,78,77,76,78
Real Betis,11,79,77,76,77
Málaga CF,11,76,77,76,77
UD Las Palmas,11,75,78,76,77
RC Deportivo,11,76,76,77,76
SD Eibar,11,75,76,76,76
Deport. Alavés,11,76,75,74,75
CD Leganés,11,73,75,74,74
Granada CF,11,72,74,74,74
Sporting Gijón,11,72,74,74,74
CA Osasuna,11,74,73,73,73
Real Madrid,12,88,86,86,86
FC Barcelona,12,92,86,83,85
Atlético Madrid,12,84,82,84,83
Sevilla FC,12,81,81,79,81
Villarreal CF,12,79,80,80,80
Athletic Bilbao,12,80,80,79,79
Valencia CF,12,80,79,79,79
Celta Vigo,12,79,79,78,78
Real Sociedad,12,78,78,76,78
Real Betis,12,79,76,75,77
RCD Espanyol,12,77,77,77,77
Málaga CF,12,76,77,76,77
UD Las Palmas,12,75,78,76,77
SD Eibar,12,77,76,75,76
RC Deportivo,12,76,76,77,76
Deport. Alavés,12,76,75,74,75
Sporting Gijón,12,75,74,73,74
CD Leganés,12,73,75,74,74
Granada CF,12,72,73,73,74
CA Osasuna,12,74,73,73,73
Real Madrid,1,88,86,86,86
FC Barcelona,1,92,85,83,85
Atlético Madrid,1,84,82,84,83
Sevilla FC,1,80,82,80,81
Villarreal CF,1,80,80,81,80
Athletic Bilbao,1,80,81,79,79
Valencia CF,1,79,79,78,79
Celta Vigo,1,79,79,78,78
Real Sociedad,1,79,78,76,78
Real Betis,1,79,77,76,77
RCD Espanyol,1,78,77,76,77
Málaga CF,1,77,77,76,77
UD Las Palmas,1,74,79,76,77
SD Eibar,1,77,77,76,76
RC Deportivo,1,77,77,76,76
Deport. Alavés,1,76,75,75,75
